OnlyInFAOSTAT,OnlyInComtrade
Afghanistan,Andorra
Algeria,Antigua and Barbuda
Bangladesh,Aruba
Chad,Bermuda
"China, Taiwan Province of",Brunei Darussalam
Eritrea,Cayman Isds
Guinea,Curaçao
Guinea-Bissau,French Polynesia
Haiti,Hong Kong
Iraq,Iceland
"Korea, Dem. People's Rep.",Kiribati
Libya,Kuwait
New Caledonia,Macao
Puerto Rico,Mauritius
Saint Kitts and Nevis,Montserrat
Sierra Leone,Oman
Solomon Islands,"Other Asia, nes"
Somalia,Samoa
South Sudan,Sao Tome and Principe
Sudan,Seychelles
Syria,Singapore
Turkmenistan,Tonga
Venezuela,United Arab Emirates
Yemen,
